聺,6 5 3 ,6 5 3 ,4 3 2 1 ,1 1 2 2 ,0.38671875 0.37890625 0.3203125 0.2421875 
匛,2 3 3 ,2 3 3 ,2 1 2 1 ,2 3 2 2 ,0.5703125 0.6171875 0.34375 0.44921875 
襟,3 2 2 ,3 2 2 ,2 2 1 1 ,1 1 1 2 ,0.390625 0.375 0.5 0.25 
蘇,1 4 4 ,1 4 4 ,1 0 1 3 ,3 2 2 1 ,0.33203125 0.421875 0.25 0.3203125 
粑,6 2 4 ,6 2 4 ,4 3 3 2 ,1 1 2 2 ,0.58203125 0.46484375 0.33203125 0.421875 
莼,2 4 3 ,2 4 3 ,1 1 1 2 ,2 3 2 2 ,0.2578125 0.4296875 0.25 0.37890625 
銋,4 3 5 ,4 3 5 ,3 2 4 2 ,4 2 1 1 ,0.35546875 0.52734375 0.421875 0.484375 
踊,3 3 5 ,3 3 5 ,2 1 3 3 ,2 1 2 1 ,0.421875 0.5546875 0.55859375 0.40625 
嚄,3 3 3 ,3 3 3 ,3 1 2 1 ,1 0 4 4 ,0.4453125 0.26953125 0.39453125 0.44140625 
蕒,1 1 2 ,1 1 2 ,1 1 1 1 ,4 5 4 5 ,0.34375 0.39453125 0.34375 0.4765625 
嶆,4 4 4 ,4 4 4 ,4 1 3 1 ,1 1 1 4 ,0.28125 0.3203125 0.43359375 0.53125 
焚,2 2 4 ,2 2 4 ,1 1 2 2 ,1 3 1 3 ,0.33203125 0.30078125 0.3359375 0.30859375 
焆,4 3 3 ,4 3 3 ,4 1 3 1 ,0 1 3 3 ,0.3515625 0.32421875 0.50390625 0.56640625 
笂,4 2 3 ,4 2 3 ,3 2 1 2 ,4 2 3 1 ,0.37890625 0.32421875 0.28515625 0.515625 
趂,3 4 3 ,3 4 3 ,1 2 2 1 ,1 1 2 2 ,0.30078125 0.47265625 0.3046875 0.2890625 
檅,2 5 6 ,2 5 6 ,2 1 3 4 ,2 1 3 1 ,0.3984375 0.3125 0.2734375 0.578125 
咏,3 4 4 ,3 4 4 ,2 1 2 2 ,1 2 2 1 ,0.453125 0.18359375 0.06640625 0.2578125 
岽,2 2 3 ,2 2 3 ,1 1 1 2 ,2 2 2 2 ,0.28125 0.34765625 0.4375 0.359375 
樭,2 5 3 ,2 5 3 ,2 1 3 1 ,2 0 3 3 ,0.3984375 0.3125 0.515625 0.45703125 
悊,2 3 5 ,2 3 5 ,1 1 2 3 ,1 2 2 1 ,0.36328125 0.2890625 0.28125 0.33984375 
厨,2 5 4 ,2 5 4 ,1 1 3 2 ,3 3 2 2 ,0.46875 0.4296875 0.4375 0.3671875 
十,1 1 1 ,1 1 1 ,1 1 1 1 ,1 0 1 0 ,0.0 0.0 0.0 0.0 
硁,2 4 3 ,2 4 3 ,1 1 2 1 ,2 1 2 2 ,0.50390625 0.37109375 0.41015625 0.25 
嘃,5 5 5 ,5 5 5 ,3 2 3 2 ,0 1 4 3 ,0.44921875 0.140625 0.46484375 0.50390625 
科,3 3 3 ,3 3 3 ,1 2 2 1 ,1 1 0 1 ,0.4453125 0.2890625 0.375 0.375 
停,2 2 2 ,2 2 2 ,2 1 1 1 ,1 0 3 2 ,0.24609375 0.25 0.3125 0.0 
